Site,Category,Google hits,FB likes,Twitter,political alignment
Uproxx,clickbait  ,"7,080,000.00","1,782,595","74,700",left
US Political Post,clickbait  ,401,0,0,left
US Uncut,clickbait  ,"548,000.00","1,545,799","19,000",left
US.Blasting.News,clickbait  ,"67,800.00","49,236","2,192",none
USA Hitman,conspiracy  ,"38,900.00",0,"4,629",Unknow
USA Newsflash,conspiracy  ,"164,000.00","646,316",0,Unknow
USA Politics Now,clickbait  ,"20,400.00","5,085",104,right
USA Supreme,,"86,500,000.00","42,633",0,right
VDARE,clickbait  ,"274,000.00","9,084","22,000",right
Veterans Today,conspiracy  ,"808,000.00","41,008","32,400",Unknow
Vidmax,clickbait  ,"360,000.00",0,799,right
Viral Liberty,conspiracy  ,"24,500.00",96,0,Unknow
Washington Free Beacon,clickbait  ,"3,380,000.00","720,727","67,100",right
Washington Monthly,clickbait  ,"447,000.00","11,366","5,510",left
We Are Change,conspiracy  ,"607,000.00","449,451","55,200",Unknow
Weasel Zippers,clickbait  ,"11,800.00","3,613","20,200",right
Web Daily,clickbait  ,"258,000.00","3,404,128",78,right
Weekly Standard,clickbait  ,"1,090,000.00","278,820","226,000",right
WeeklyWorldNews.com,satire ,"402,000.00","103,244","2,915",left
Western Journalism,clickbait  ,"1,950,000.00","4,493,372","30,700",right
WhatDoesItMean,conspiracy  ,"1,540,000.00",0,0,Unknow
Why Don’t You Try This,conspiracy  ,"108,000.00","853,482",0,Unknow
Winning Democrats,clickbait  ,"528,000.00","1,207,107",44,left
WitScience,satire ,"13,000.00","2,918",8,unknown
WND (World Net Daily),clickbait  ,"581,000.00","824,529","63,500",right
Wonkette,clickbait  ,"551,000.00",0,"47,000",left
World News Daily Report,satire ,"108,000.00","27,394",95,left
World Truth TV,junk science,"431,000.00","14,162","10,800",right
Young Conservatives,clickbait  ,"580,000.00","813,757","85,900",right
Young Turks,clickbait  ,"8,530,000.00","1,334,954","257,000",left
Your News Wire,conspiracy  ,"315,000.00","20,619","14,600",Unknow
Z Magazine,clickbait  ,"199,000.00",855,326,left
Zero Hedge,conspiracy  ,"2,740,000.00","14,833","373,000",Unknow
Private-Eye,satire,"4,020,000.00","217,872","361,000",left
Democracy Now,clickbait  ,"9,810,000.00","1,082,983","522,000",left
Black Lives Matter,clickbait  ,"6,750,000.00","237,535","192,000",left
